text,label
"Which MSS instance are you reporting this issue for MSS NextGen What type of issue are you reporting Another issue Description of problem attach screenshots of any errors, etc. DWVLGA@DWFADCL equipment is in installed status on SESB but is under construction in equipment inventory pending in network systems. Can we check if this is something in the system or the result of user intervention ",Training

" ORA -.COULD NOT gather information for MIROR Block pin validation request ",Training

"Alternate contact phone number for yourself, if applicable -- Which MSS instance are you reporting this issue for MSS NextGen What type of issue are you reporting Another issue Description of problem attach screenshots of any errors, etc. Hi Team, We are not able to add circuit id TZF ALNAPAACW STMYPAXSDS for disconnection in PON NCH. The install PON is NCH. Kindly check and resolve the issue. Thanks, Sandeep PSR NCH ",Training

" Unable to Validate PSR . Getting below error message. , Telephone , Error MessageIN ORDER TO ADD NEW NSP WINDSTREAM YOU MUST DISCONNECT THE OLD ONE. PSR ",Data

" Unable to complete BBDES task . Getting below error message. Task in EXCEPTION Work Queue, Telephone , Error MessageCould not assign connectionsORA- cannot insert NULL into ASAP.NS_COMP_REL.NS_COMP_ID_CHILD PSR ",Training

" Pin to which the customer is assigned is not compatible for the selected speed product. Please assign compatible pin. BPQ CALLS FOR FIBER BUT FIBER HAS NOT BEEN TURNED UP IN THE TERMINAL NEED PIN CHG TO PHONE PLEASE INCLUDE THESE NOTES WITH EMAIL PSR ",Training

" Unable to complete DELEGORD task. Getting below error message. Task in EXCEPTN Work Queue, Telephone , Error MessageReturnCd - ReturnText Unable to create delegated PSR Order in NGMSS. Error returned from API. javax.xml.ws.soap.SOAPFaultException org.openuri.WSException_Exception Exception thrown during Order API execution. Message Exception Thrown Importing Order. Message Unable to process item Actiontec TK -VBOND Product group . Miscellaneous Error Unable to copy item to the order as the Service Item is on another open PSR Order. The Preference to Copy Pending PSR Items is set to No.. Error Code Miscellaneous Error Unable to copy item to the order as the Service Item is on another open PSR Order. The Preference to Copy Pending PSR Items is set to No.Error Code Unable to process item Actiontec TK -VBOND Product group . Miscellaneous Error Unable to copy item to the order as the Service Item is on another open PSR Order. The Preference to Copy Pending PSR Items is set to No.. PSR ",Data

" ORA-CUSTOMER IS NOT QUALIFIED FOR IPTV SERVICE ",Training

" ORA- exact fetch returns more than requested number of rows ORA- at ASAP.SP_CHANGE_CIRCUIT_STATUS, line ORA- at ASAP.SP_CHANGE_CIRCUIT_STATUS, line ORA- at ASAP.SP_COMPLETE_PSR, line ORA- at ASAP.SP_TASK_COMPLETE, line ORA- at line CUSTOMER' RECORD IS STUCK IN BBCOMP IN HWIN WITH THAT ERROR. CUSTOMER SHOULD BE DISCONNECTED ",Training

"Which MSS instance are you reporting this issue for MSS NextGen What type of issue are you reporting Another issue Description of problem attach screenshots of any errors, etc. Per ISR -KSCY DS CKT HCXP IOR groomed off of DS CID KSCAMOK KSCYMOK. However, slot of DS KSCAMOK KSCYMOK is still showing in service with HCXP IOR . We need slot to show spare as the groom completed per ISR -KSCY PSR ISR -KSCY ",Training

" ReturnCd - ReturnText Unable to create delegated PSR Order in NGMSS. Error returned from API. Message Exception Thrown Importing Order. Message Unable to validate item item Product group . Error Code Missing Data servItemID is required for DISCONNECT orderitem.Error Code Unable to validate item Product group .error coode PHONE IN EXC ADDASGN FOR MG BONDED PINS PLEASE INCLUDE THESE NOTES IN EMAIL PSR ",Data

"Which MSS instance are you reporting this issue for MSS NextGen What type of issue are you reporting Another issue Description of problem attach screenshots of any errors, etc. COULD NOT GET NSP INFO PSR ",Training

"Which MSS instance are you reporting this issue for MSS NextGen What type of issue are you reporting Another issue Description of problem attach screenshots of any errors, etc. cant close DD task for pon -TKWL. error states am violating constraint -TKWL PSR -TKWL ",Training

"Which MSS instance are you reporting this issue for MSS NextGen What type of issue are you reporting Another issue Description of problem attach screenshots of any errors, etc. While trying to close the Design task for the ISR -NNI which has been cancelled.We are getting the below error the Design on the row is violating the constraint. Please assist in closing the Design task. PSR -NNI ",Data

"Which MSS instance are you reporting this issue for MSS NextGen What type of issue are you reporting Another issue Description of problem attach screenshots of any errors, etc. Unable to complete the DD task PSR ",User Request

